,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
7262,spring-darkness-581,finished,59,ReLU,casual,0.938289721,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,lzxsx8f9oy,2,1,1,0.981174733,293.94006,293.9432103,0,0.050790427,0.036052373,25.91346875,0.03826074,0.034304336,1,1.61E-07,1,2.91E-07,0.97746509,0.490829153
7263,driven-cosmos-580,finished,59,ReLU,casual,0.947818823,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,8iyepx38gt,2,1,1,0.929149019,51.05968196,51.06176293,0,0.081744154,0.078927844,21.74951529,0.069324637,0.073907896,1,5.76E-08,1,8.86E-08,0.84530439,0.909445267
7264,laced-water-579,finished,59,ReLU,casual,0.860366076,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,o63dvaf4ke,2,1,1,0.776108317,48.28716253,48.34355672,0,0.138827828,0.128035372,25.39338965,0.089543458,0.092597238,1,1.54E-07,1,5.97E-07,0.634560104,0.995560496
7265,pleasant-eon-578,finished,59,ReLU,casual,0.167801699,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,kw6oa6by6c,2,1,1,0.4509359,119.9848844,119.9859414,0,0.14056685,0.133445363,25.3290749,0.129131125,0.124515673,1,1.57E-07,1,2.95E-07,0.993732423,0.500799979
7266,charmed-voice-577,finished,59,ReLU,casual,0.334514634,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,79xmv9tokg,2,1,1,0.903018905,66.39696681,66.43010813,0,0.09004435,0.089218554,17.06918138,0.06694631,0.062076934,1,4.52E-08,1,0.000115499,0.997610941,0.966821546
7267,still-grass-576,finished,59,ReLU,casual,0.743188907,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,zvtoch66c9,2,1,1,0.705921784,35.46888511,35.46888511,0,0.144216366,0.125912179,24.92042267,0.108601449,0.101668139,1,1.48E-07,1,6.05E-07,0.533998573,0.964106089
7268,cosmic-star-575,finished,59,ReLU,casual,0.451123892,3481,128,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,eb9plftfr2,2,1,1,0.257359289,46.2568702,46.2568702,0,0.188492218,0.187974703,16.74409735,0.185447941,0.186106276,1,3.84E-08,1,5.81E-08,0.997465265,0.496106624
7269,glorious-bush-574,finished,59,ReLU,casual,0.774075562,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,4cmpcr4fmm,2,1,1,0.915556171,61.01718115,61.0563484,0,0.095009093,0.090533067,26.26580543,0.06136716,0.058256773,1,1.19E-06,1,6.07E-06,0.504204679,0.835519598
7270,lilac-glade-573,finished,59,ReLU,casual,0.058837552,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,vnbq6r2frj,2,1,1,0.979169725,48.39811117,48.44494314,0,0.066403648,0.061474947,26.44663125,0.037379611,0.037571639,1,1.19E-06,1,7.82E-06,0.970874324,0.663206011
7271,mild-bush-572,finished,59,ReLU,casual,0.071742003,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,2deb5bffv8,2,1,1,0.770422668,61.7427485,61.7427485,0,0.089998228,0.063724171,16.94437066,0.047031187,0.027701507,1,3.99E-08,1,6.35E-08,0.996977684,0.901775741
7272,elated-wave-571,finished,59,ReLU,casual,0.650611153,3481,128,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,fr5ssc9f13,2,1,1,0.99406528,83.81675098,83.81849336,0,0.042585193,0.041487222,26.63679075,0.019672578,0.021829238,1,0.000182579,1,0.000454859,0.873601748,0.798220573
