,Name,State,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,distance_irrelevance,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,gradient_sim,circularity
1787,rosy-sponge-4361,finished,59,ReLU,casual,0.124028115,3481,41,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,5aflv3wrzb,2,1,1,0.933052071,25.14482813,25.22795636,0,0.062699456,0.050839545,19.91253955,0.055060668,0.0511244,1,3.58E-05,1,7.08E-05,0.983018823,0.919908763
1788,fragrant-lake-4360,finished,59,ReLU,casual,0.541131763,3481,121,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,dh61ox6ji5,2,1,1,0.580157394,35.79812357,35.79812357,0,0.164763326,0.163582313,24.30582908,0.14115182,0.139695132,1,1.38E-07,1,1.80E-07,0.98422779,0.988415497
1789,drawn-armadillo-4359,finished,59,ReLU,casual,0.00096993,3481,234,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,j9tsuoh85x,2,1,1,0.226944091,60.5508902,60.55872447,0,0.234639848,0.235721679,15.28898489,0.232397847,0.231514551,1,3.09E-08,1,4.11E-08,0.997733552,0.984373213
1790,fragrant-wood-4358,finished,59,ReLU,casual,0.319506108,3481,36,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,m3doaylwbi,2,1,1,0.365206725,73.85018836,73.85302894,0,0.180117996,0.180418286,25.92477548,0.173373378,0.174381366,1,2.80E-07,1,4.08E-07,0.996851665,0.523001088
1791,happy-brook-4357,finished,59,ReLU,casual,0.345693403,3481,35,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,ofmo5vak71,2,0.994261146,0.997485638,0.789765141,65.63623979,19.83235288,0.003224492,0.091439732,0.072710549,18.27321045,0.089906624,0.075615957,0.981321812,0.695262479,0.972740293,0.710604847,0.998849839,0.725598556
1792,fast-wildflower-4356,finished,59,ReLU,casual,0.022526106,3481,329,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,eorrum3tdp,2,1,1,0.849304164,235.6239115,235.6609029,0,0.095170988,0.099552839,23.40214212,0.090190399,0.100326733,0.893318951,0.761258118,0.878048778,0.78138429,0.677816307,0.478376932
1793,usual-wildflower-4355,finished,59,ReLU,casual,0.164342363,3481,260,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,uroo37ytz9,2,1,1,0.70254074,59.8481276,59.86763597,0,0.144159531,0.139915977,17.95681157,0.104410529,0.102377877,1,4.65E-08,1,0.000264236,0.99808313,0.50167443
1794,ancient-elevator-4354,finished,59,ReLU,casual,0.097791422,3481,291,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,cbmdpxc4kg,2,1,1,0.255313372,222.1981339,222.2220021,0,0.172816229,0.172896726,25.50089194,0.168544952,0.169132035,1,1.43E-07,1,2.74E-07,0.990509139,0.499404373
1795,olive-breeze-4353,finished,59,ReLU,casual,0.976254218,3481,44,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,codwqd51n8,2,0.984218061,1,0.99833456,449.2543175,134.0717334,0.015781939,0.026250973,0.024785962,14.11913835,0.011098837,0.014394175,0.819683909,1.303870485,0.784791946,1.339184855,0.31008538,0.026133516
1796,hopeful-surf-4352,finished,59,ReLU,casual,0.843419409,3481,468,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,3k625bfq6v,2,1,1,0.638334663,319.6415682,319.6776326,0,0.1396333,0.115141553,27.27504577,0.107471585,0.097108674,1,1.55E-07,1,3.03E-07,0.673207915,0.501403421
